record_id,query_id,scenario,actual_label,predicted_label,actual_severity,predicted_severity,error_type,priority_score,baseline_execution_time,current_execution_time,execution_time_change_percent,plan_changed,index_changed,statistics_status,workload_level,release_id,detected_before_user_impact,lead_time_seconds,evidence_strength
24,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,22.0,22.55,2.5,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
25,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,22.0,21.17,-3.77,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
26,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,22.0,22.3,1.36,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
27,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,22.0,21.01,-4.5,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
28,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,22.0,22.9,4.09,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
29,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,22.0,20.8,-5.45,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
30,SYNTH-Q-003,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,22.0,20.46,-7.0,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
31,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,13.8,13.25,-3.99,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
32,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,14.29,3.55,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
33,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,14.11,2.25,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
34,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,13.05,-5.43,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
35,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,14.38,4.2,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
36,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,14.08,2.03,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
37,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,13.52,-2.03,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
38,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,13.41,-2.83,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
39,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,14.64,6.09,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
40,SYNTH-Q-004,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,13.8,13.23,-4.13,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
41,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,29.56,3.72,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
42,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,29.23,2.56,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
43,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,28.63,0.46,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
44,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,28.5,30.46,6.88,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
45,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,27.64,-3.02,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
46,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,30.32,6.39,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
47,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,27.24,-4.42,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
48,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,28.75,0.88,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
49,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,26.54,-6.88,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
50,SYNTH-Q-005,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,28.5,26.53,-6.91,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
51,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,16.4,16.44,0.24,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
52,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,16.4,16.5,0.61,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
53,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,16.4,17.15,4.57,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
54,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,16.4,15.34,-6.46,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
55,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,16.4,16.17,-1.4,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
56,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,16.4,16.8,2.44,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
57,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,16.4,16.14,-1.59,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
58,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,16.4,15.59,-4.94,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
59,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,16.4,16.2,-1.22,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
60,SYNTH-Q-006,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,16.4,17.38,5.98,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
61,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,15.1,15.97,5.76,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
62,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,15.1,15.47,2.45,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
63,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,15.1,16.13,6.82,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
64,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,15.1,15.07,-0.2,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
65,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,15.1,14.29,-5.36,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
66,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,15.1,16.13,6.82,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
67,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,15.1,14.91,-1.26,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
68,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,15.1,14.35,-4.97,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
69,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,15.1,15.67,3.77,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
70,SYNTH-Q-007,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,15.1,14.01,-7.22,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
71,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,19.54,7.36,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
72,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,18.48,1.54,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
73,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,17.09,-6.1,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
74,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,18.48,1.54,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
75,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,18.66,2.53,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
76,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,17.34,-4.73,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
77,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,17.52,-3.74,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
78,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,17.66,-2.97,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
79,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,18.08,-0.66,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
80,SYNTH-Q-008,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,46.25,18.2,18.31,0.6,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
81,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,37.43,6.94,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
82,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,33.8,-3.43,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
83,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,37.71,7.74,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
84,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,36.78,5.09,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
85,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,33.68,-3.77,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
86,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,33.78,-3.49,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
87,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,36.05,3.0,False,False,CURRENT,NORMAL,v1.0.0,False,,Insufficient evidence
88,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,5.55,35.0,37.27,6.49,False,False,CURRENT,HIGH,v1.0.0,False,,Insufficient evidence
89,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,34.57,-1.23,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
90,SYNTH-Q-009,release_deployment,NORMAL,NORMAL,NORMAL,NORMAL,TN,37.0,35.0,34.07,-2.66,False,False,CURRENT,LOW,v1.0.0,False,,Insufficient evidence
91,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,14.5,15.39,6.14,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
92,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,7.05,14.5,13.8,-4.83,False,False,CURRENT,HIGH,v1.1.0,False,,Insufficient evidence
93,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,14.5,13.85,-4.48,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
94,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,14.5,14.05,-3.1,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
95,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,14.5,15.89,9.59,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
96,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,14.5,15.26,5.24,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
97,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,14.5,15.47,6.69,False,False,CURRENT,LOW,v1.1.0,False,,Insufficient evidence
98,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,14.5,15.66,8.0,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
99,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,7.05,14.5,14.17,-2.28,False,False,CURRENT,HIGH,v1.1.0,False,,Insufficient evidence
100,SYNTH-Q-001,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,7.05,14.5,15.23,5.03,False,False,CURRENT,HIGH,v1.1.0,False,,Insufficient evidence
101,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,155.8,1291.07,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
102,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,139.6,1146.43,True,True,CURRENT,HIGH,v1.1.0,True,600.0,Strong evidence
103,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,257.84,2202.14,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
104,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,137.58,1128.39,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
105,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,250.57,2137.23,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
106,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,202.86,1711.25,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
107,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,149.9,1238.39,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
108,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,148.97,1230.09,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
109,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,215.87,1827.41,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
110,SYNTH-Q-002,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,11.2,159.95,1328.12,True,True,CURRENT,HIGH,v1.1.0,True,600.0,Strong evidence
111,SYNTH-Q-003,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,7.05,22.0,22.62,2.82,False,False,CURRENT,HIGH,v1.1.0,False,,Insufficient evidence
112,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,22.32,1.45,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
113,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,21.94,-0.27,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
114,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,21.92,-0.36,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
115,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,23.2,5.45,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
116,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,22.29,1.32,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
117,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,22.78,3.55,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
118,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,21.85,-0.68,False,False,CURRENT,LOW,v1.1.0,False,,Insufficient evidence
119,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,22.36,1.64,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
120,SYNTH-Q-003,index_removed,NORMAL,TRUE_REGRESSION,NORMAL,HIGH,FP,58.75,22.0,22.46,2.09,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
121,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,179.64,1201.74,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
122,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,301.13,2082.1,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
123,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,299.17,2067.9,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
124,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,328.54,2280.72,True,True,CURRENT,LOW,v1.1.0,True,600.0,Strong evidence
125,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,234.23,1597.32,True,True,CURRENT,LOW,v1.1.0,True,600.0,Strong evidence
126,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,280.92,1935.65,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
127,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,274.24,1887.25,True,True,CURRENT,NORMAL,v1.1.0,True,600.0,Strong evidence
128,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,236.0,1610.14,True,True,CURRENT,LOW,v1.1.0,True,600.0,Strong evidence
129,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,257.91,1768.91,True,True,CURRENT,HIGH,v1.1.0,True,600.0,Strong evidence
130,SYNTH-Q-004,index_removed,TRUE_REGRESSION,TRUE_REGRESSION,CRITICAL,CRITICAL,TP,100.0,13.8,298.31,2061.67,True,True,CURRENT,HIGH,v1.1.0,True,600.0,Strong evidence
131,SYNTH-Q-005,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,28.5,30.89,8.39,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
132,SYNTH-Q-005,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,7.05,28.5,30.95,8.6,False,False,CURRENT,HIGH,v1.1.0,False,,Insufficient evidence
133,SYNTH-Q-005,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,28.5,30.76,7.93,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
134,SYNTH-Q-005,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,28.5,28.13,-1.3,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
135,SYNTH-Q-005,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,28.5,30.4,6.67,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
136,SYNTH-Q-005,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,28.5,28.96,1.61,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
137,SYNTH-Q-005,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,28.5,28.24,-0.91,False,False,CURRENT,NORMAL,v1.1.0,False,,Insufficient evidence
138,SYNTH-Q-005,index_removed,NORMAL,NORMAL,NORMAL,NORMAL,TN,47.0,28.5,27.72,-2.74,False,False,CURRENT,LOW,v1.1.0,False,,Insufficient evidence
